nct_id,study_title,arm,device,outcome_title,outcome_description,time_frame,value,unit,n_analysed,result_type,category,durability_related,retrieved_at
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - Total",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",4.0,mmHg,82,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 27mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.9,mmHg,29,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 29mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.8,mmHg,25,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 31mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.5,mmHg,16,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - 33mm",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.4,mmHg,6,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Mitral Bioprosthesis, Model 11000M - Total",COMMENCE (Inspiris RESILIA),Subject's Average Mean Gradient Measurements - 11000M,Mean gradient is the average flow of blood through the mitral valve measured in millimeters of mercury. Gradients are evaluated by echocardiography over time. Mean gradient values depend on the size and type of valve.,"3 Months, 1 Year, and 2 Years Post Implant",3.8,mmHg,82,MEAN,,True,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 19mm",COMMENCE (Inspiris RESILIA),Subject's Average Peak Gradients Measurements Over Time - 11000A,Peak gradient is the maximum value measured of flow of blood through the aortic valve as measured in millimeters of mercury. Gradients are evaluated by echocardiography over time.,"3 Months, 1 Year, and 2 Years Post Implant",27.5,mmHg,22,MEAN,,False,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 21mm",COMMENCE (Inspiris RESILIA),Subject's Average Peak Gradients Measurements Over Time - 11000A,Peak gradient is the maximum value measured of flow of blood through the aortic valve as measured in millimeters of mercury. Gradients are evaluated by echocardiography over time.,"3 Months, 1 Year, and 2 Years Post Implant",21.7,mmHg,131,MEAN,,False,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 23mm",COMMENCE (Inspiris RESILIA),Subject's Average Peak Gradients Measurements Over Time - 11000A,Peak gradient is the maximum value measured of flow of blood through the aortic valve as measured in millimeters of mercury. Gradients are evaluated by echocardiography over time.,"3 Months, 1 Year, and 2 Years Post Implant",18.8,mmHg,214,MEAN,,False,2026-09-16T12:17:58Z
NCT01757665,"ProspeCtive, nOn-randoMized, MulticENter Clinical Evaluation of Edwards Pericardial Bioprostheses With a New Tissue Treatment Platform (COMMENCE)","Edwards Pericardial Aortic Bioprosthesis, Model 11000A - 25mm",COMMENCE (Inspiris RESILIA),Subject's Average Peak Gradients Measurements Over Time - 11000A,Peak gradient is the maximum value measured of flow of blood through the aortic valve as measured in millimeters of mercury. Gradients are evaluated by echocardiography over time.,"3 Months, 1 Year, and 2 Years Post Implant",17.5,mmHg,202,MEAN,,False,2026-09-16T12:17:58Z
